package_age_days,maintainer_count,maintainer_account_age,commits_per_month,release_frequency,version_spike_ratio,contributor_growth_rate,repo_popularity_score,ownership_change_flag,download_trend_score,cve_count,cve_severity_score,dependency_depth,historical_risk_score,is_malicious
128,1,0.35,0.77,9.45,4.91,0.0,0.0083,1,−0.688,0,0.0,0,0.897,1
2570,6,7.05,25.9,0.775,0.118,0.412,0.834,0,0.163,0,0.0,3,0.0355,0
355,2,0.99,3.05,3.48,1.28,−0.112,0.067,0,−0.192,2,0.612,1,0.472,1
1255,3,3.42,11.1,1.365,0.272,0.162,0.487,0,0.063,0,0.0,2,0.121,0
3620,7,9.85,37.8,0.508,0.068,0.572,0.929,0,0.199,0,0.0,4,0.0208,0
178,1,0.495,1.18,7.55,3.92,0.0,0.0292,1,−0.528,1,0.75,0,0.863,1
695,2,1.93,6.15,1.875,0.458,0.042,0.207,0,0.0265,0,0.0,1,0.264,0
2185,5,5.96,21.6,0.965,0.172,0.277,0.753,0,0.123,0,0.0,3,0.0557,0
292,2,0.83,2.62,4.08,1.73,−0.133,0.057,0,−0.212,2,0.592,1,0.517,1
1472,4,4.03,14.6,1.158,0.231,0.203,0.593,0,0.089,0,0.0,2,0.1088,0
4655,10,12.72,48.6,0.368,0.0468,0.842,0.979,0,0.286,0,0.0,6,0.00848,0
2682,6,7.32,27.1,0.728,0.113,0.432,0.843,0,0.164,0,0.0,3,0.0328,0
397,2,1.09,3.42,2.98,1.04,−0.106,0.076,0,−0.167,2,0.607,1,0.442,1
1122,3,3.09,9.52,1.438,0.287,0.137,0.441,0,0.047,0,0.0,2,0.1128,0
3802,8,10.36,39.4,0.474,0.0638,0.627,0.937,0,0.2062,0,0.0,4,0.01878,0
219,1,0.61,1.82,5.98,3.13,0.0,0.0402,1,−0.442,0,0.0,0,0.783,1
1282,3,3.49,11.52,1.328,0.267,0.173,0.499,0,0.067,1,0.25,2,0.119,0
4352,9,11.92,44.8,0.413,0.0538,0.757,0.959,0,0.227,0,0.0,5,0.01148,0
163,1,0.462,1.03,7.7,4.04,0.0,0.0278,1,−0.537,1,0.75,0,0.869,1
667,2,1.86,5.72,1.998,0.473,0.037,0.196,0,0.0232,0,0.0,1,0.267,0
2222,5,6.06,21.82,0.938,0.167,0.283,0.759,0,0.1268,0,0.0,3,0.0538,0
